filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,‰æ‘œƒTƒCƒY,35mmŠ·ŽZ,—j“ú,“ú•t,ŽžŠÔ‘Ñ,happy_tf,male_tf,distance,—j“ú_tf
DSC08846-20191130,14,20,male,0,0,0,0,0,0.985,0.014,0,35.66004442,139.7006378,78,35,“y,2019/11/30,2,0,1,12.143,1
DSC08846-20191130,15,35,male,0,0,0,0,0,1,0,0,35.66004442,139.7006378,78,35,“y,2019/11/30,2,0,1,12.143,1
DSC08846-20191130,19,15,male,0,0,0,0,0.004,0.854,0,0.141,35.66004442,139.7006378,40,35,“y,2019/11/30,2,0,1,23.645,1
DSC08847-20191130,3,27,male,0,0,0,0,0,1,0,0,35.65986803,139.7005725,276,35,“y,2019/11/30,2,0,1,3.457,1
DSC08849-20191130,4,25,male,0,0.003,0,0.001,0.007,0.961,0.025,0.002,35.65977442,139.7005487,274,34,“y,2019/11/30,2,0,1,3.382,1
DSC08849-20191130,6,15,male,0,0,0,0,0,0.997,0.002,0.001,35.65977442,139.7005487,242,34,“y,2019/11/30,2,0,1,3.825,1
DSC08849-20191130,7,23,male,0,0.001,0,0,0.002,0.923,0.067,0.007,35.65977442,139.7005487,212,34,“y,2019/11/30,2,0,1,4.362,1
DSC08849-20191130,8,27,male,0,0,0,0,0,1,0,0,35.65977442,139.7005487,85,34,“y,2019/11/30,2,0,1,10.827,1
DSC08850-20191130,1,17,male,0,0,0,0,1,0,0,0,35.65993108,139.7006027,226,35,“y,2019/11/30,2,1,1,4.214,1
DSC08850-20191130,2,19,male,0,0,0,0,0,1,0,0,35.65993108,139.7006027,195,35,“y,2019/11/30,2,0,1,4.878,1
DSC08851-20191130,1,22,male,0,0.002,0,0,0.485,0.513,0,0,35.66008566,139.7006385,237,35,“y,2019/11/30,2,0,1,4.02,1
