filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,male_tf,happy_tf,distance,èÍèä
DSD06749-1221,5,17,male,0,0,0,0,0,0.998,0,0.002,35.73617611,139.7341644,38,35,ìy,2019/12/21,2,1,0,24.88807018,4
DSD06749-1221,6,22,female,0,0,0,0,0,1,0,0,35.73617611,139.7341644,36,35,ìy,2019/12/21,2,0,0,24.9562963,4
DSD06750-1221,1,53,male,0.001,0.001,0,0,0,0.991,0.002,0.006,35.73607583,139.7343308,125,35,ìy,2019/12/21,2,1,0,7.590333333,4
DSD06751-1221,1,42,female,0.004,0.006,0,0,0,0.965,0.024,0,35.73594472,139.7345256,73,35,ìy,2019/12/21,2,0,0,12.32495434,4
DSD06751-1221,2,54,male,0.001,0.001,0,0,0.001,0.963,0.034,0,35.73594472,139.7345256,54,35,ìy,2019/12/21,2,1,0,17.52419753,4
DSD06751-1221,3,25,female,0,0,0,0,1,0,0,0,35.73594472,139.7345256,40,35,ìy,2019/12/21,2,0,1,22.46416667,4
DSD06752-1221,1,61,male,0,0,0,0.001,0,0.919,0.003,0.077,35.73571861,139.7348917,86,35,ìy,2019/12/21,2,1,0,11.01658915,4
DSD06752-1221,2,27,female,0,0,0,0,0,0.846,0.154,0,35.73571861,139.7348917,82,35,ìy,2019/12/21,2,0,0,10.97605691,4
DSD06752-1221,3,20,male,0,0,0,0,0,0.999,0,0,35.73571861,139.7348917,79,35,ìy,2019/12/21,2,1,0,11.98964135,4
DSD06752-1221,4,22,female,0,0,0,0,0.995,0.004,0,0,35.73571861,139.7348917,72,35,ìy,2019/12/21,2,0,1,12.49564815,4
DSD06752-1221,5,34,male,0,0.002,0,0,0.392,0.606,0,0,35.73571861,139.7348917,49,35,ìy,2019/12/21,2,1,0,19.30880952,4
DSD06752-1221,6,35,male,0,0,0,0,0,0.997,0.003,0,35.73571861,139.7348917,39,35,ìy,2019/12/21,2,1,0,24.25081197,4
DSD06753-1221,1,20,male,0,0,0,0,0.001,0.994,0.004,0,35.73555388,139.7351018,77,35,ìy,2019/12/21,2,1,0,12.30015152,4
DSD06753-1221,2,26,female,0.001,0.002,0.002,0,0.334,0.661,0.001,0,35.73555388,139.7351018,70,35,ìy,2019/12/21,2,0,0,12.85166667,4
DSD06753-1221,3,58,male,0,0,0,0,0,0.997,0.001,0.002,35.73555388,139.7351018,44,35,ìy,2019/12/21,2,1,0,21.49901515,4
DSD06755-1221,1,54,male,0,0.001,0,0,0,0.891,0.106,0.001,35.73520445,139.7358077,297,35,ìy,2019/12/21,2,1,0,3.214854097,4
DSD06755-1221,2,49,female,0,0,0,0,0,0.981,0.018,0.001,35.73520445,139.7358077,287,35,ìy,2019/12/21,2,0,0,3.16101626,4
DSD06755-1221,3,62,female,0.004,0.001,0.01,0.001,0.017,0.875,0.087,0.005,35.73520445,139.7358077,72,35,ìy,2019/12/21,2,0,0,12.49564815,4
DSD06755-1221,4,20,female,0,0.003,0,0,0.861,0.132,0.004,0,35.73520445,139.7358077,51,35,ìy,2019/12/21,2,0,1,17.62650327,4
DSD06756-1221,1,36,female,0,0.001,0,0,0.354,0.639,0.005,0.001,35.73508528,139.7360539,232,35,ìy,2019/12/21,2,0,0,3.902097701,4
DSD06756-1221,2,35,male,0,0,0,0,0,0.988,0.011,0,35.73508528,139.7360539,216,35,ìy,2019/12/21,2,1,0,4.407299383,4
DSD06756-1221,3,18,female,0,0,0,0,0,0.997,0.003,0,35.73508528,139.7360539,165,35,ìy,2019/12/21,2,0,0,5.472373737,4
DSD06756-1221,4,41,female,0,0,0,0,0,0.951,0.004,0.045,35.73508528,139.7360539,92,35,ìy,2019/12/21,2,0,0,9.786811594,4
DSD06758-1221,2,25,female,0,0.001,0,0,0.085,0.913,0.001,0,35.73473603,139.7366071,81,35,ìy,2019/12/21,2,0,0,11.11113169,4
DSD06759-1221,1,20,female,0,0,0,0,0,0.996,0.002,0.001,35.73463575,139.7368192,261,35,ìy,2019/12/21,2,0,0,3.472420179,4
DSD06759-1221,2,26,male,0,0,0,0,0,1,0,0,35.73463575,139.7368192,260,35,ìy,2019/12/21,2,1,0,3.667371795,4
DSD06759-1221,3,64,male,0.002,0.002,0,0,0,0.995,0,0,35.73463575,139.7368192,152,35,ìy,2019/12/21,2,1,0,6.248267544,4
DSD06759-1221,4,39,female,0,0,0,0,0,0.977,0.006,0.016,35.73463575,139.7368192,144,35,ìy,2019/12/21,2,0,0,6.265324074,4
DSD06759-1221,5,64,male,0,0.003,0,0,0.001,0.944,0.052,0,35.73463575,139.7368192,140,35,ìy,2019/12/21,2,1,0,6.780833333,4
DSD06759-1221,6,46,female,0,0,0,0,0.014,0.44,0.546,0,35.73463575,139.7368192,114,35,ìy,2019/12/21,2,0,0,7.904883041,4
DSD06759-1221,7,18,female,0.008,0.001,0.001,0.003,0,0.933,0.03,0.024,35.73463575,139.7368192,100,35,ìy,2019/12/21,2,0,0,9.006666667,4
DSD06759-1221,8,24,female,0,0,0,0,0,0.999,0.001,0,35.73463575,139.7368192,74,35,ìy,2019/12/21,2,0,0,12.15887387,4
DSD07724-200111,1,52,female,0.002,0.001,0.001,0,0.099,0.892,0.005,0.001,35.73463229,139.7369062,77,35,ìy,2020/1/11,2,0,0,11.68651515,4
DSD07724-200111,2,17,female,0.002,0.001,0.001,0,0.002,0.921,0.072,0.001,35.73463229,139.7369062,69,35,ìy,2020/1/11,2,0,0,13.03741546,4
DSD07724-200111,3,1,male,0,0,0,0,0,0.987,0.013,0,35.73463229,139.7369062,52,35,ìy,2020/1/11,2,1,0,18.19685897,4
DSD07724-200111,4,20,male,0.001,0,0,0,0.023,0.958,0.017,0,35.73463229,139.7369062,51,35,ìy,2020/1/11,2,1,0,18.55297386,4
DSD07724-200111,5,51,female,0,0,0,0,0,0.981,0,0.018,35.73463229,139.7369062,50,35,ìy,2020/1/11,2,0,0,17.97833333,4
DSD07724-200111,6,26,female,0,0,0,0,0.002,0.967,0.001,0.03,35.73463229,139.7369062,48,35,ìy,2020/1/11,2,0,0,18.72597222,4
DSD07724-200111,7,58,male,0,0,0,0,0.001,0.995,0.004,0,35.73463229,139.7369062,38,35,ìy,2020/1/11,2,1,0,24.88807018,4
DSD07724-200111,8,29,male,0,0,0,0,0,0.838,0,0.162,35.73463229,139.7369062,37,35,ìy,2020/1/11,2,1,0,25.55977477,4
