filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,male_tf,happy_tf,kao,distance,èÍèä
DSD06644-1221,2,28,male,0,0.002,0,0,0.37,0.627,0.001,0,35.6714149,139.7038913,363,35,ìy,2019/12/21,2,1,0,161.9,2.636698806,2
DSD06644-1221,3,20,female,0,0,0,0,0,0.999,0.001,0,35.6714149,139.7038913,246,35,ìy,2019/12/21,2,0,0,153.8,3.68201897,2
DSD06644-1221,4,19,male,0,0.001,0,0,0.968,0.028,0.002,0,35.6714149,139.7038913,220,35,ìy,2019/12/21,2,1,1,161.9,4.32780303,2
DSD06644-1221,5,12,female,0.008,0.002,0.003,0.002,0.012,0.846,0.003,0.124,35.6714149,139.7038913,196,35,ìy,2019/12/21,2,0,0,153.8,4.612380952,2
DSD06644-1221,6,31,male,0,0,0,0,0,0.999,0.001,0,35.6714149,139.7038913,131,35,ìy,2019/12/21,2,1,0,161.9,7.244287532,2
DSD06644-1221,8,23,female,0,0,0,0,0,0.996,0.004,0,35.6714149,139.7038913,86,35,ìy,2019/12/21,2,0,0,153.8,10.46717054,2
DSD06644-1221,11,34,male,0.002,0.001,0.001,0.003,0,0.841,0.003,0.149,35.6714149,139.7038913,69,35,ìy,2019/12/21,2,1,0,161.9,13.72219807,2
DSD06644-1221,12,26,female,0,0,0,0,0.981,0.019,0,0,35.6714149,139.7038913,55,35,ìy,2019/12/21,2,0,1,153.8,16.34712121,2
DSD06645-1221,1,27,female,0.001,0.009,0,0,0.055,0.898,0.037,0,35.67144583,139.70398,623,35,ìy,2019/12/21,2,0,0,153.8,1.475074906,2
DSD06645-1221,2,22,female,0,0,0,0,0,0.999,0.001,0,35.67144583,139.70398,363,35,ìy,2019/12/21,2,0,0,153.8,2.506533517,2
DSD06645-1221,3,23,male,0,0,0,0,0.01,0.989,0,0.001,35.67144583,139.70398,101,35,ìy,2019/12/21,2,1,0,161.9,9.385660066,2
DSD06646-1221,1,35,female,0,0.001,0,0,0.003,0.991,0.003,0.002,35.67138404,139.7040667,313,35,ìy,2019/12/21,2,0,0,153.8,2.901347178,2
DSD06646-1221,2,29,female,0,0.002,0,0,0,0.982,0.007,0.009,35.67138404,139.7040667,310,35,ìy,2019/12/21,2,0,0,153.8,2.929086022,2
DSD06646-1221,3,28,female,0,0,0,0,0.018,0.919,0.062,0,35.67138404,139.7040667,249,35,ìy,2019/12/21,2,0,0,153.8,3.638078983,2
DSD06646-1221,4,34,male,0.002,0.012,0.031,0,0.005,0.946,0.003,0,35.67138404,139.7040667,224,35,ìy,2019/12/21,2,1,0,161.9,4.251145833,2
DSD06646-1221,5,51,male,0.001,0,0,0,0.002,0.933,0.062,0.001,35.67138404,139.7040667,161,35,ìy,2019/12/21,2,1,0,161.9,5.900942029,2
DSD06646-1221,6,31,female,0.01,0.089,0.001,0,0.022,0.878,0.001,0,35.67138404,139.7040667,106,35,ìy,2019/12/21,2,0,0,153.8,8.498836478,2
DSD06647-1221,1,11,female,0,0,0,0.002,0,0.741,0.092,0.165,35.67134813,139.7042038,514,35,ìy,2019/12/21,2,0,0,153.8,1.780460441,2
DSD06647-1221,2,19,female,0,0,0,0,0.993,0.001,0.006,0,35.67134813,139.7042038,488,35,ìy,2019/12/21,2,0,1,153.8,1.873456284,2
DSD06647-1221,3,18,female,0.007,0.069,0,0,0,0.917,0.006,0,35.67134813,139.7042038,347,35,ìy,2019/12/21,2,0,0,153.8,2.620494717,2
DSD06647-1221,4,22,female,0,0,0,0,0,0.986,0.013,0,35.67134813,139.7042038,245,35,ìy,2019/12/21,2,0,0,153.8,3.696904762,2
DSD06647-1221,5,25,male,0,0,0,0,0,1,0,0,35.67134813,139.7042038,179,35,ìy,2019/12/21,2,1,0,161.9,5.311070764,2
DSD06647-1221,6,22,female,0,0,0,0,0,0.999,0,0.001,35.67134813,139.7042038,144,35,ìy,2019/12/21,2,0,0,153.8,6.265324074,2
DSD06647-1221,8,32,male,0,0,0,0,0,1,0,0,35.67134813,139.7042038,119,35,ìy,2019/12/21,2,1,0,161.9,7.97127451,2
DSD06647-1221,9,19,female,0.001,0.001,0,0,0,0.994,0.004,0,35.67134813,139.7042038,107,35,ìy,2019/12/21,2,0,0,153.8,8.419735202,2
DSD06647-1221,11,37,female,0,0,0,0,0,1,0,0,35.67134813,139.7042038,72,35,ìy,2019/12/21,2,0,0,153.8,12.49564815,2
DSD06648-1221,1,47,male,0,0,0,0,0,0.62,0.38,0,35.67136972,139.7042358,508,35,ìy,2019/12/21,2,1,0,161.9,1.894087927,2
DSD06648-1221,2,18,female,0,0,0,0,0,0.475,0.007,0.517,35.67136972,139.7042358,413,35,ìy,2019/12/21,2,0,0,153.8,2.207316384,2
