filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,‰æ‘œƒTƒCƒY,35mmŠ·ŽZ,—j“ú,“ú•t,ŽžŠÔ‘Ñ,happy_tf,male_tf,distance,—j“ú_tf
DSC_0017-1412,4,20,female,0,0,0,0,1,0,0,0,35.66215443,139.7006106,53,34,“ú,2019/12/8,2,1,0,16.478,1
DSC_0018,2,44,female,0,0,0,0,1,0,0,0,35.66001051,139.7047597,87,33,“ú,2019/12/8,2,1,0,9.756,1
DSC_0018,3,18,female,0.002,0,0,0,0,0.991,0.006,0,35.66001051,139.7047597,79,33,“ú,2019/12/8,2,0,0,10.741,1
DSC_0019,1,26,female,0.002,0,0.001,0.01,0.001,0.716,0.003,0.268,35.66007225,139.7049694,176,33,“ú,2019/12/8,2,0,0,4.839,1
DSC_0019-1214,1,51,female,0,0.004,0,0,0.001,0.989,0.006,0,35.66000359,139.7047814,416,33,“ú,2019/12/8,1,0,0,2.066,1
DSC_0019-1214,2,23,female,0.001,0,0.002,0.001,0.002,0.36,0.003,0.631,35.66000359,139.7047814,382,33,“ú,2019/12/8,1,0,0,2.247,1
DSC_0019-1214,4,41,female,0.005,0.001,0.001,0.001,0.001,0.836,0.153,0.001,35.66000359,139.7047814,66,33,“ú,2019/12/8,1,0,0,12.85,1
DSC_0019-1412,1,24,female,0,0.068,0,0,0.815,0.116,0,0,35.66223802,139.700103,90,34,“ú,2019/12/8,2,1,0,9.718,1
DSC_0019-1412,2,25,female,0,0,0,0,0,1,0,0,35.66223802,139.700103,41,34,“ú,2019/12/8,2,0,0,21.291,1
DSC_0019-1452,1,45,female,0,0,0,0,0,0.987,0.011,0.002,35.65989652,139.704964,416,34,“ú,2019/12/8,2,0,0,2.129,1
DSC_0019-1452,2,23,female,0,0,0,0,0,0.919,0.081,0,35.65989652,139.704964,108,34,“ú,2019/12/8,2,0,0,8.104,1
DSC_0020-1412,1,22,female,0,0,0,0,0.625,0.374,0.001,0,35.66225364,139.699909,238,34,“ú,2019/12/8,2,1,0,3.696,1
DSC_0020-1412,2,23,female,0.002,0.018,0.01,0,0.094,0.852,0.023,0,35.66225364,139.699909,214,34,“ú,2019/12/8,2,0,0,4.107,1
DSC_0020-1412,4,18,female,0,0,0,0,0,0.999,0.001,0,35.66225364,139.699909,67,34,“ú,2019/12/8,2,0,0,13.042,1
DSC_0020-1412,5,24,female,0,0,0,0,0,0.993,0.004,0.003,35.66225364,139.699909,59,34,“ú,2019/12/8,2,0,0,14.806,1
DSC_0020-1412,7,24,female,0,0,0,0,0.872,0.127,0,0,35.66225364,139.699909,46,34,“ú,2019/12/8,2,1,0,18.98,1
DSC_0020-1412,8,3,female,0,0,0,0,0,0.997,0.003,0,35.66225364,139.699909,42,34,“ú,2019/12/8,2,0,0,20.785,1
DSC_0020-1412,9,6,female,0,0,0,0,0,1,0,0,35.66225364,139.699909,36,34,“ú,2019/12/8,2,0,0,24.243,1
DSC_0021,1,20,female,0,0,0,0,0,0.937,0.063,0,35.66018459,139.7055212,264,33,“ú,2019/12/8,2,0,0,3.237,1
DSC_0021,2,29,female,0,0,0,0,0,0.986,0.014,0,35.66018459,139.7055212,166,33,“ú,2019/12/8,2,0,0,5.129,1
DSC_0021,3,26,female,0,0.004,0,0,0.047,0.945,0.003,0,35.66018459,139.7055212,107,33,“ú,2019/12/8,2,0,0,7.939,1
DSC_0021,5,24,female,0,0,0,0,0,0.995,0,0.005,35.66018459,139.7055212,65,33,“ú,2019/12/8,2,0,0,13.047,1
DSC_0021,6,23,female,0,0,0,0,0.002,0.983,0,0.015,35.66018459,139.7055212,42,33,“ú,2019/12/8,2,0,0,20.173,1
DSC_0021-1214,1,25,female,0,0,0,0,0,0.994,0.006,0,35.66009933,139.7052306,83,33,“ú,2019/12/8,1,0,0,10.225,1
DSC_0021-1214,2,37,female,0,0,0,0,0,0.999,0,0.001,35.66009933,139.7052306,67,33,“ú,2019/12/8,1,0,0,12.658,1
DSC_0021-1214,5,42,female,0,0,0,0,0.39,0.609,0,0,35.66009933,139.7052306,42,33,“ú,2019/12/8,1,0,0,20.173,1
DSC_0021-1452,1,23,female,0.003,0,0,0,0,0.99,0.007,0,35.659985,139.7053766,50,34,“ú,2019/12/8,2,0,0,17.465,1
DSC_0022,1,26,female,0,0,0,0,0,0.953,0.047,0.001,35.66024524,139.7057429,74,33,“ú,2019/12/8,2,0,0,11.464,1
DSC_0022,2,24,female,0.001,0.296,0.001,0,0.091,0.607,0.002,0.002,35.66024524,139.7057429,64,33,“ú,2019/12/8,2,0,0,13.25,1
DSC_0022,4,29,female,0,0,0,0,0,0.995,0.005,0,35.66024524,139.7057429,51,33,“ú,2019/12/8,2,0,0,16.619,1
DSC_0022,5,16,female,0,0,0.001,0.001,0,0.876,0.046,0.075,35.66024524,139.7057429,46,33,“ú,2019/12/8,2,0,0,18.422,1
DSC_0022,6,27,female,0,0,0,0,0,0.964,0,0.036,35.66024524,139.7057429,40,33,“ú,2019/12/8,2,0,0,21.181,1
DSC_0022,7,41,female,0,0,0,0.001,0,0.985,0.004,0.009,35.66024524,139.7057429,37,33,“ú,2019/12/8,2,0,0,22.895,1
DSC_0022-1214,2,42,female,0,0,0,0,0.002,0.982,0.016,0,35.66014588,139.7053666,39,33,“ú,2019/12/8,1,0,0,21.723,1
DSC_0022-1413,5,18,female,0,0,0,0,0,0.997,0.003,0,35.66245217,139.6993069,43,34,“ú,2019/12/8,2,0,0,20.302,1
DSC_0022-1413,6,21,female,0,0,0,0,0,0.993,0.007,0,35.66245217,139.6993069,41,34,“ú,2019/12/8,2,0,0,21.291,1
DSC_0022-1413,7,35,female,0,0,0,0,0,0.999,0,0,35.66245217,139.6993069,38,34,“ú,2019/12/8,2,0,0,22.969,1
DSC_0022-1413,8,40,female,0.001,0.001,0,0,0,0.954,0.043,0,35.66245217,139.6993069,37,34,“ú,2019/12/8,2,0,0,23.589,1
