filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,ìyì˙_tf,èÍèä
DSC02569,2,19,female,0,0,0,0,0,0.999,0.001,0,35.65945,139.7023339,150,105,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02571,2,41,female,0,0,0,0,0.105,0.003,0.892,0,35.65955306,139.70243,234,46,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02574,2,24,female,0.001,0,0,0,0.002,0.983,0.002,0.012,35.65945611,139.7024231,91,105,ì˙,2019/12/8,3,1,ã{âvç‚
DSC02833,2,25,female,0,0,0,0,0,0.318,0,0.682,35.65947361,139.7021044,81,105,åé,2019/12/9,3,0,ã{âvç‚
DSC02834,2,23,female,0,0,0,0,0,0.999,0,0.001,35.65951333,139.7021253,98,105,åé,2019/12/9,3,0,ã{âvç‚
DSC02835,2,20,female,0,0,0,0,0.02,0.972,0.001,0.006,35.65966111,139.7022264,192,34,åé,2019/12/9,3,0,ã{âvç‚
DSC02837,2,18,female,0,0.214,0.001,0.001,0.264,0.452,0.001,0.067,35.65961278,139.7024361,156,105,åé,2019/12/9,3,0,ã{âvç‚
DSC02839,2,22,female,0,0,0,0,0,0.995,0.005,0,35.65974861,139.7023917,201,32,åé,2019/12/9,3,0,ã{âvç‚
DSC02840,2,20,female,0.001,0.001,0,0.004,0,0.851,0.003,0.14,35.65964556,139.7024325,102,105,åé,2019/12/9,3,0,ã{âvç‚
DSC02842,2,41,male,0,0,0,0.001,0,0.919,0.077,0.003,35.65960556,139.7023533,129,105,åé,2019/12/9,3,0,ã{âvç‚
DSC02843,2,22,female,0,0,0,0.008,0,0.824,0.011,0.156,35.65962306,139.7023158,77,105,åé,2019/12/9,3,0,ã{âvç‚
DSC02844,2,35,female,0.001,0.003,0,0.001,0.001,0.955,0.039,0,35.65961472,139.7023178,83,105,åé,2019/12/9,3,0,ã{âvç‚
DSC02845,2,49,male,0,0.004,0,0,0.002,0.991,0.003,0,35.65952028,139.7023458,69,50,åé,2019/12/9,3,0,ã{âvç‚
DSC02846,2,24,female,0,0,0,0,0.001,0.989,0.009,0.001,35.65951917,139.7022364,223,32,åé,2019/12/9,3,0,ã{âvç‚
DSC02847,2,33,male,0,0,0,0.001,0,0.973,0.002,0.024,35.65955556,139.7021086,161,105,åé,2019/12/9,3,0,ã{âvç‚
DSC02849,2,23,female,0.001,0.001,0,0,0.001,0.985,0.012,0,35.65950528,139.7020789,263,34,åé,2019/12/9,3,0,ã{âvç‚
DSD06139-1218,2,27,male,0,0,0,0,0.02,0.978,0.002,0,35.65961695,139.7023764,49,35,êÖ,2019/12/18,1,0,ã{âvç‚
DSD06141-1218,2,25,female,0.003,0,0,0,0.002,0.994,0,0,35.65958556,139.7024283,46,35,êÖ,2019/12/18,1,0,ã{âvç‚
DSD06142-1218,2,18,female,0.013,0.008,0.019,0.001,0.569,0.338,0.052,0.001,35.65957083,139.7025406,210,35,êÖ,2019/12/18,1,0,ã{âvç‚
DSD06146-1218,2,24,female,0,0,0,0,0.001,0.993,0.006,0,35.65953833,139.7026669,59,35,êÖ,2019/12/18,1,0,ã{âvç‚
DSD06147-1218,2,32,male,0,0,0,0,0,0.907,0.093,0,35.6594675,139.7027803,134,35,êÖ,2019/12/18,1,0,ã{âvç‚
DSD06149-1218,2,25,male,0,0.001,0,0,0.989,0.01,0,0,35.65964889,139.7023428,46,35,êÖ,2019/12/18,1,0,ã{âvç‚
DSD06150-1218,2,53,female,0.002,0,0.001,0.147,0.001,0.059,0.007,0.784,35.65953778,139.7023639,38,35,êÖ,2019/12/18,1,0,ã{âvç‚
DSD06152-1218,2,24,female,0,0,0,0,1,0,0,0,35.65940445,139.7021758,176,35,êÖ,2019/12/18,1,0,ã{âvç‚
DSD06155-1218,2,22,female,0,0,0,0,0,0.884,0.115,0,35.65938556,139.7022328,58,35,êÖ,2019/12/18,1,0,ã{âvç‚
